Style Name,Vendor Name,Family Name,Embedding Vector,Feature Vector,Anchor Embedding,Pair Embedding
Heisei Kaku Gothic W3,Adobe,Heisei Kaku Gothic,"[0.140411, 0.064778, 0.198983, 0.058167, 0.17969, 0.118414, 0.124681, 0.233552, 0.157011, 0.04209, 0.055027, 0.170814, 0.209434, 0.167959, 0.29801, 0.296236, 0.081621, 0.152219, 0.259059, 0.278829, 0.043001, 0.485031, 0.207086, 0.234014]","[0.36014764, 0.4450888, 0.48462352, 0.59122896, 0.25510721, 0.26239844, 0.2185173, 0.25366572, 0.1347958, 0.48773789, 0.12380059, 18.22222222, 16.44444444, 0.17486511, 0.70098838, 1512.0, 2286144.0, 0.0, 55.0, 0.7364418, 0.1546121, 0.0311296, 0.0, 0.0, 40.5, 6.04705882, 0.34700665, 0.29489618, 1.43633126, 1.63161475, 1.0, 0.05757434, 1.0, 0.27109187, 0.08889417, 1.0, 0.0, 1.0, 0.74175824, 0.7701766, 0.0034476, 0.0, 0.02348003, 0.24691358, 0.0, 0.53164557, 0.0, 0.18928263, 0.28430724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00732601, 0.0, 0.0, 1.639694, 4.0, 2.0]","[0.677381, -0.700416, 0.0, -0.806476, 0.676016, 0.569212, -0.639596, -0.328632, -0.627104, 0.88261, 0.686179, 0.807807, -0.799141, -0.647605, 0.75094, 0.796594]","[0.042664, -0.256068, 0.0, -0.077648, 0.027234, 0.218508, -0.208089, 0.033466, -0.213454, 0.08226, 0.285695, 0.037144, -0.085752, -0.228487, 0.22604, 0.078499]"
Iwata Kyokasyo Pro Light,IWATA,Iwata Kyokasyo Pro,"[0.089568, 0.066232, 0.194569, 0.055674, 0.047993, 0.150562, 0.106055, 0.182575, 0.140772, 0.041233, 0.082907, 0.144124, 0.199937, 0.255159, 0.266846, 0.245683, 0.073986, 0.138271, 0.267984, 0.269963, 0.044896, 0.441065, 0.271947, 0.389194]","[0.30894083, 0.44613073, 0.48019697, 0.59524508, 0.25957847, 0.25728404, 0.24970124, 0.23475823, 0.16498236, 0.46160458, 0.13865484, 18.33333333, 18.22222222, 0.17383329, 0.83216731, 1469.0, 2157961.0, 0.0, 48.0, 0.72916667, 0.16040638, 0.01791553, 0.0, 0.0, 35.0, 3.74313725, 0.28566331, 0.20864141, 1.06666667, 1.81115367, 1.0, 0.05014363, 1.0, 0.29578329, 0.10704317, 1.0, 0.0, 3.0, 0.72916667, 0.74513132, 0.00035103, 0.0, 0.04704154, 0.11428571, 0.0, 0.51470588, 0.1, 0.17121212, 0.25638158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.03814617, 1.486695, 3.0, 2.0]","[0.387837, -0.841026, 0.0, -0.628646, 0.343615, 0.731372, -0.702552, -0.04432, -0.755608, 0.691889, 0.831431, 0.537506, -0.651639, -0.775217, 0.650164, 0.650727]","[-0.302, -0.162746, 0.0, 0.259283, -0.330943, 0.162095, -0.158697, 0.245415, -0.163612, -0.301183, 0.165649, -0.361483, 0.258091, -0.167302, 0.154993, -0.28942]"
Iwata Kyokasyo Pro Demibold,IWATA,Iwata Kyokasyo Pro,"[0.093253, 0.063824, 0.202051, 0.057456, 0.053491, 0.145769, 0.123365, 0.171796, 0.151695, 0.039074, 0.069228, 0.150577, 0.221728, 0.270835, 0.279089, 0.25125, 0.073405, 0.148704, 0.259763, 0.255542, 0.040193, 0.464545, 0.233958, 0.355375]","[0.33490677, 0.44837345, 0.47984631, 0.59022477, 0.25693236, 0.25556772, 0.2514318, 0.23215499, 0.16127789, 0.45272733, 0.15383979, 18.33333333, 17.77777778, 0.17972092, 0.72978364, 1491.0, 2223081.0, 0.0, 48.0, 0.72916667, 0.18579267, 0.01852616, 0.0, 0.0, 35.0, 4.23529412, 0.29161202, 0.22898865, 1.07201459, 1.34498061, 1.0, 0.07765994, 1.0, 0.28793721, 0.105721, 1.0, 0.0, 3.0, 0.72916667, 0.71905408, 0.00470135, 0.0, 0.0674807, 0.11428571, 0.0, 0.51470588, 0.125, 0.16840537, 0.2505117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.02035141, 1.319078, 3.0, 2.0]","[0.198272, -0.612575, 0.0, -0.39215, 0.165017, 0.474697, -0.416423, 0.00061, -0.475384, 0.472429, 0.62977, 0.290177, -0.435425, -0.513662, 0.343187, 0.429223]","[-0.37449, 0.082664, 0.0, 0.389251, -0.396765, -0.025152, 0.04426, 0.242187, 0.05946, -0.453062, -0.064195, -0.462522, 0.388064, 0.054668, -0.076642, -0.408863]"
Iwata Fuku Marugo StdN Regular,IWATA,Iwata Fuku Marugo,"[0.144061, 0.062405, 0.190702, 0.056564, 0.066868, 0.134086, 0.053555, 0.179521, 0.152311, 0.038702, 0.047336, 0.18181, 0.264629, 0.31506, 0.294532, 0.337007, 0.058006, 0.157807, 0.231132, 0.269278, 0.023469, 0.401782, 0.244478, 0.269597]","[0.35656083, 0.44045672, 0.48384179, 0.59061496, 0.25104878, 0.25465325, 0.26534038, 0.23711923, 0.17008304, 0.44944209, 0.14335564, 19.33333333, 16.44444444, 0.18492355, 0.64948457, 1422.0, 2022084.0, 0.0, 53.5, 0.63556953, 0.11377925, 0.02538995, 0.0, 0.0, 34.0, 5.41294118, 0.3018638, 0.28735881, 0.95720109, 1.12869354, 1.0, 0.06931225, 1.0, 0.29491386, 0.10505681, 1.0, 0.0, 3.0, 0.62730627, 0.74420783, 0.0, 0.0, 0.10206424, 0.26470588, -8.13010236, 0.51515152, 0.46666667, 0.20869172, 0.23162393, 0.0, 0.66568627, 0.98279372, 0.00280152, 0.00481276, 1.48405799, 0.98708487, 0.0, 0.0, 1.159235, 4.0, 3.0]","[0.732188, 0.577731, 0.0, -0.670874, 0.77696, -0.705245, 0.593415, -0.564666, 0.620759, 0.771054, -0.635639, 0.828526, -0.574031, 0.62366, -0.554294, 0.71562]","[-0.320655, 0.443209, 0.0, 0.377278, -0.311492, -0.29442, 0.352193, 0.097387, 0.348665, -0.394748, -0.387845, -0.360952, 0.381357, 0.338311, -0.404019, -0.386901]"
Iwata Fuku Marugo StdN Medium,IWATA,Iwata Fuku Marugo,"[0.144778, 0.042282, 0.213426, 0.064302, 0.112208, 0.126591, 0.052751, 0.181353, 0.216225, 0.03274, 0.064263, 0.193969, 0.29935, 0.308968, 0.269704, 0.447407, 0.148651, 0.180762, 0.229518, 0.20905, 0.002413, 0.402595, 0.044275, 0.022653]","[0.43771252, 0.44931382, 0.48341001, 0.58092535, 0.24339016, 0.24956188, 0.27194381, 0.24064613, 0.16784882, 0.44009469, 0.15141036, 17.33333333, 16.88888889, 0.20642193, 0.58070333, 1502.0, 2256004.0, 0.0, 55.5, 0.6487013, 0.11825708, 0.0290089, 0.0, 0.0, 36.0, 7.94705882, 0.33924143, 0.36430707, 1.04354393, 0.86912924, 1.0, 0.11791021, 1.0, 0.293533, 0.09049364, 1.0, 0.0, 3.0, 0.63829787, 0.81093894, 0.00038291, 0.0, 0.1333915, 0.19444444, -9.46232222, 0.51428571, 0.44444444, 0.1999142, 0.18667917, 4.12941176, 0.60566449, 1.03037683, 0.00571662, 0.00695675, 1.47432255, 0.98404255, 0.0, 0.0, 1.185639, 5.0, 4.0]","[0.275396, 0.494161, 0.0, -0.203614, 0.312897, -0.441914, 0.460149, -0.201719, 0.454321, 0.284487, -0.398371, 0.399758, -0.200768, 0.462148, -0.524683, 0.297668]","[-0.248686, 0.610227, 0.0, 0.346071, -0.215134, -0.424226, 0.487531, -0.029428, 0.502561, -0.343674, -0.552296, -0.25214, 0.346884, 0.445624, -0.552826, -0.345513]"
Heisei Mincho N W3,Adobe,Heisei Mincho N,"[0.089191, 0.066531, 0.305281, 0.054243, 0.172427, 0.184271, 0.072075, 0.332327, 0.141028, 0.03869, 0.079336, 0.165672, 0.054052, 0.252665, 0.265191, 0.235734, 0.081904, 0.159353, 0.212766, 0.13148, 0.051816, 0.43644, 0.257556, 0.331985]","[0.26859604, 0.45657194, 0.4886795, 0.57771968, 0.22856292, 0.27095982, 0.24050044, 0.27226324, 0.14726286, 0.44316286, 0.13731104, 19.66666667, 18.55555556, 0.13081298, 0.40326797, 1446.0, 2090916.0, 1.71428571, 55.0, 0.67261905, 0.10918432, 0.03243229, 0.0, 0.0, 37.0, 4.96862745, 0.16543823, 0.24504417, 1.77645503, 0.18431589, 1.0, 0.02573204, 1.0, 0.28369461, 0.21528042, 1.0, -1.0, 3.0, 0.67765568, 0.74305779, 0.00472855, 0.0, 0.09534197, 0.27027027, 0.0, 0.52777778, 0.5, 0.17060732, 0.28415698, 3.48695231, 1.02217865, 0.21866895, 0.01231877, 0.11644136, 0.41822433, 1.00732601, 0.55392157, 0.01992351, 2.142866, 3.0, 2.0]","[0.430804, -0.991063, 0.0, -0.771279, 0.356846, 0.976885, -0.98359, 0.187624, -0.985962, 0.849551, 0.991284, 0.653669, -0.79842, -0.984613, 0.98893, 0.747114]","[0.178471, -0.698455, 0.0, -0.340098, 0.143155, 0.671401, -0.672031, 0.026916, -0.668789, 0.376287, 0.72314, 0.236031, -0.350584, -0.712017, 0.695033, 0.308703]"
Heisei Mincho W3,Adobe,Heisei Mincho,"[0.07213, 0.065794, 0.295383, 0.05376, 0.174926, 0.155841, 0.052391, 0.310324, 0.12562, 0.03973, 0.08585, 0.1627, 0.052388, 0.29721, 0.284669, 0.204383, 0.051292, 0.157444, 0.233348, 0.127625, 0.054089, 0.436419, 0.304306, 0.311706]","[0.27151875, 0.45599561, 0.49239936, 0.56434488, 0.22881377, 0.26981241, 0.24369386, 0.28999018, 0.1509243, 0.41713666, 0.14194886, 18.88888889, 19.11111111, 0.13349717, 0.37477396, 1328.0, 1763584.0, 2.0, 52.5, 0.64749637, 0.08385998, 0.03797453, 0.0, 0.0, 34.0, 4.96862745, 0.15963644, 0.25784644, 1.79392338, 0.21569979, 1.0, 0.02991842, 1.0, 0.28072864, 0.22519676, 1.0, -2.0, 3.0, 0.69387755, 0.7304027, 0.00012308, 0.0, 0.099392, 0.26470588, 0.0, 0.52238806, 0.5, 0.22061567, 0.26237179, 3.57389706, 0.96752307, 0.24497866, 0.01284012, 0.13458152, 0.51238946, 1.07142857, 0.29716776, 0.02592717, 2.142866, 3.0, 2.0]","[0.330422, -0.995372, 0.0, -0.732868, 0.234626, 0.985262, -0.989458, 0.291278, -0.991336, 0.814155, 0.99489, 0.544816, -0.760831, -0.990764, 0.993364, 0.698699]","[0.319365, -0.788061, 0.0, -0.501232, 0.281481, 0.741831, -0.755365, -0.003685, -0.763812, 0.547942, 0.795273, 0.403236, -0.507934, -0.777456, 0.782418, 0.474846]"
Heisei Mincho W7,Adobe,Heisei Mincho,"[0.114946, 0.053092, 0.319476, 0.067675, 0.285005, 0.209666, 0.083128, 0.321942, 0.183868, 0.041508, 0.164656, 0.194032, 0.053398, 0.257076, 0.28327, 0.305783, 0.158582, 0.166898, 0.241897, 0.115237, 0.043029, 0.375083, 0.172641, 0.038264]","[0.37484424, 0.45960846, 0.49206121, 0.55567917, 0.22102242, 0.26190259, 0.23981623, 0.28874313, 0.1456773, 0.42345918, 0.1421204, 20.0, 14.77777778, 0.15662942, 0.41733256, 1460.0, 2131600.0, 1.2, 52.5, 0.68559507, 0.13327724, 0.04312227, 0.0, 0.0, 36.0, 8.14117647, 0.24582011, 0.35992539, 2.19838872, 0.31725654, 1.0, 0.04556203, 1.0, 0.27679938, 0.16070129, 1.0, 0.0, 3.0, 0.67924528, 0.80005175, 0.00319236, 0.0, 0.10655906, 0.25, 0.0, 0.50684932, 0.48571429, 0.17267809, 0.26315351, 3.31991422, 1.19115702, 0.18534795, 0.01101257, 0.10773213, 0.46364761, 0.99056604, 0.3956427, 0.02854417, 3.571444, 5.0, 2.0]","[0.059609, -0.86458, 0.0, -0.247305, 0.010109, 0.737196, -0.793708, 0.171046, -0.809041, 0.279922, 0.824347, 0.056455, -0.225267, -0.805132, 0.852981, 0.196616]","[0.165404, -0.869772, 0.0, -0.410216, 0.103695, 0.82328, -0.844779, 0.144858, -0.838137, 0.406824, 0.856285, 0.20804, -0.411377, -0.8484, 0.862605, 0.350166]"
Iwata Maru Gothic Pro Medium,IWATA,Iwata Maru Gothic Pro,"[0.057266, 0.05814, 0.195433, 0.065081, 0.17116, 0.130047, 0.130442, 0.150677, 0.232854, 0.040799, 0.037751, 0.17325, 0.260483, 0.226797, 0.276545, 0.300904, 0.110398, 0.163248, 0.239113, 0.212006, 0.030147, 0.53652, 0.158835, 0.190786]","[0.38316778, 0.45118838, 0.47935037, 0.58297051, 0.25185718, 0.25253864, 0.26697981, 0.22928728, 0.16651969, 0.43382145, 0.17037158, 17.11111111, 18.44444444, 0.18999094, 0.62733959, 1652.0, 2729104.0, 0.0, 56.0, 0.73214286, 0.18581787, 0.01893131, 0.0, 0.0, 41.0, 5.96862745, 0.34985422, 0.28697768, 1.11916046, 1.27432918, 1.0, 0.08778364, 1.0, 0.30519977, 0.1012219, 1.0, 0.0, 3.0, 0.73214286, 0.79110664, 0.00039886, 0.0, 0.08382552, 0.07317073, 0.0, 0.5125, 0.5, 0.17519514, 0.23424701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.180149, 5.0, 3.0]","[0.142461, -0.745662, 0.0, -0.33107, 0.077128, 0.552085, -0.475574, 0.083043, -0.542639, 0.382064, 0.747774, 0.216434, -0.376632, -0.616159, 0.51151, 0.386875]","[-0.377092, 0.093333, 0.0, 0.373774, -0.396946, -0.042703, 0.056018, 0.248435, 0.055066, -0.415696, -0.078481, -0.447692, 0.374923, 0.050665, -0.075678, -0.397034]"
Iwata Kaisho Pro Medium,IWATA,Iwata Kaisho Pro,"[0.034225, 0.062657, 0.294939, 0.054726, 0.155735, 0.168175, 0.103169, 0.320668, 0.153339, 0.038811, 0.078979, 0.162117, 0.050127, 0.307141, 0.269673, 0.207299, 0.070747, 0.161354, 0.217323, 0.123053, 0.054871, 0.44035, 0.2694, 0.325454]","[0.25626111, 0.46157582, 0.49668726, 0.52530699, 0.22384116, 0.27282752, 0.25009897, 0.3284064, 0.16838875, 0.34420603, 0.15899882, 18.88888889, 18.44444444, 0.14031759, 0.31639738, 1434.0, 2056356.0, 1.85714286, 46.0, 0.67391304, 0.1872413, 0.03019293, 0.0, 0.0, 31.0, 4.61176471, 0.14776345, 0.23429383, 2.7780083, 0.20193788, 1.0, 0.01750679, 1.0, 0.29191272, 0.26748837, 1.0, 3.0, 3.0, 0.67391304, 0.69310604, 0.00418806, 0.0, 0.14488194, 0.29032258, 0.0, 0.5, 0.42857143, 0.19777778, 0.2578976, 4.66973005, 0.76812851, 0.20749623, 0.01914554, 0.1435317, 0.60005021, 1.0, 0.3754902, 0.05021755, 2.682868, 3.0, 1.0]","[0.149835, -0.702801, 0.0, -0.271587, 0.103427, 0.570517, -0.625589, 0.076705, -0.656673, 0.305614, 0.674842, 0.213478, -0.283262, -0.651745, 0.655228, 0.264641]","[0.102346, -0.32381, 0.0, -0.154936, 0.095666, 0.272977, -0.314052, -0.003824, -0.311562, 0.133864, 0.284236, 0.112509, -0.148256, -0.289496, 0.325281, 0.136325]"
Iwata Kyokasyo Std Demibold,IWATA,Iwata Kyokasyo Std,"[0.092967, 0.063807, 0.201473, 0.057483, 0.053608, 0.1457, 0.123484, 0.171735, 0.151922, 0.039113, 0.069346, 0.150508, 0.221427, 0.270491, 0.279257, 0.250977, 0.07299, 0.148545, 0.260021, 0.255662, 0.040227, 0.464981, 0.23449, 0.355143]","[0.33487091, 0.4484364, 0.47985226, 0.59022477, 0.25691844, 0.25557827, 0.25170249, 0.23216934, 0.16126133, 0.45252351, 0.15404581, 18.33333333, 17.77777778, 0.17971483, 0.7297719, 1491.0, 2223081.0, 0.0, 48.0, 0.72916667, 0.17969339, 0.01852616, 0.0, 0.0, 35.0, 4.23529412, 0.29161202, 0.22898429, 1.07201459, 1.34515136, 1.0, 0.07765994, 1.0, 0.28908664, 0.105721, 1.0, 0.0, 3.0, 0.72916667, 0.71905408, 0.00470874, 0.0, 0.0674807, 0.11428571, 0.0, 0.51470588, 0.125, 0.16840537, 0.2505117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.02035141, 1.319078, 3.0, 2.0]","[0.197388, -0.638597, 0.0, -0.400344, 0.16085, 0.504098, -0.448936, 0.010142, -0.507187, 0.480816, 0.655518, 0.291527, -0.444199, -0.54311, 0.37744, 0.4359]","[-0.376577, 0.072049, 0.0, 0.388687, -0.399485, -0.016659, 0.034897, 0.246267, 0.049269, -0.452272, -0.0545, -0.464371, 0.387618, 0.04518, -0.06621, -0.40911]"
Iwata Gyousho Pro Medium,IWATA,Iwata Gyousho Pro,"[0.048886, 0.050318, 0.17444, 0.080971, 0.08922, 0.204241, 0.007787, 0.163204, 0.201867, 0.040008, 0.021055, 0.314091, 0.355675, 0.321628, 0.089409, 0.448919, 0.090089, 0.228448, 0.100795, 0.068915, 0.026632, 0.408673, 0.116209, 0.210622]","[0.37094754, 0.44291366, 0.47810022, 0.56367168, 0.23185694, 0.24656041, 0.32419875, 0.20241265, 0.26140418, 0.39895002, 0.13723316, 19.11111111, 16.55555556, 0.16174568, 0.39158383, 1679.0, 2819041.0, 0.0, 50.0, 0.74, 0.29320075, 0.04021958, 4.0, 0.0, 37.0, 7.48366013, 0.27504127, 0.28314568, 1.07873395, 0.46270231, 1.0, 0.05249064, 1.0, 0.32399464, 0.07806396, 1.0, -18.0, 2.0, 0.71705426, 0.79667354, 0.01952703, 1.2, 0.19375684, 0.27027027, -16.69924425, 0.50684932, 0.525, 0.14947552, 0.10912698, 0.0, 0.0, 0.78539816, 0.0, 0.0, 0.89605538, 0.96899225, 0.0, 0.02641082, 1.671402, 5.0, 2.0]","[0.326122, -0.389457, 0.0, -0.516809, 0.335586, 0.481068, -0.363082, -0.071745, -0.356184, 0.675583, 0.636053, 0.559212, -0.603027, -0.420987, 0.262608, 0.583545]","[-0.170633, 0.517727, 0.0, 0.308848, -0.153029, -0.367615, 0.422814, -0.044025, 0.468263, -0.368479, -0.472799, -0.24396, 0.306734, 0.428644, -0.490805, -0.290366]"
Heisei Kaku Gothic W5,Adobe,Heisei Kaku Gothic,"[0.180361, 0.049111, 0.219432, 0.067138, 0.214489, 0.112278, 0.048565, 0.230523, 0.163575, 0.038126, 0.158921, 0.184485, 0.183406, 0.209219, 0.293048, 0.325119, 0.14886, 0.160825, 0.284003, 0.275771, 0.036681, 0.477918, 0.081652, 0.02546]","[0.46046719, 0.45284934, 0.48262636, 0.57532805, 0.24418236, 0.2529072, 0.2193604, 0.27917857, 0.13510725, 0.47224624, 0.11346793, 18.66666667, 15.66666667, 0.20471896, 0.60361561, 1441.0, 2076481.0, 0.0, 49.5, 0.7777551, 0.31019345, 0.0251499, 0.0, 0.0, 38.5, 8.20392157, 0.35889641, 0.40086534, 1.25645646, 1.08967454, 1.0, 0.11837187, 1.0, 0.26419358, 0.08771221, 1.0, 0.0, 1.0, 0.7103321, 0.8172461, 0.00012878, 0.0, 0.0324393, 0.23376623, 0.0, 0.52631579, 0.40909091, 0.19864865, 0.21097106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.91328413, 0.0, 0.0, 1.475581, 5.0, 3.0]","[-0.302581, -0.541948, 0.0, 0.221841, -0.348344, 0.450916, -0.365729, 0.235658, -0.388846, -0.298011, 0.453589, -0.437235, 0.190913, -0.464977, 0.498205, -0.282284]","[-0.049878, 0.329484, 0.0, 0.086509, -0.02262, -0.286037, 0.288594, -0.038582, 0.281182, -0.064596, -0.33679, -0.022604, 0.090401, 0.270509, -0.313384, -0.082935]"
Iwata Maru Gothic Std Demibold,IWATA,Iwata Maru Gothic Std,"[0.093619, 0.046708, 0.2478, 0.06813, 0.117965, 0.126691, 0.120182, 0.141694, 0.280009, 0.033375, 0.132259, 0.178831, 0.295798, 0.251981, 0.25642, 0.347712, 0.163228, 0.171367, 0.212762, 0.236892, 0.017812, 0.480776, 0.053547, 0.012519]","[0.45563345, 0.45708863, 0.48027441, 0.56619622, 0.24562067, 0.24709223, 0.27791842, 0.23764489, 0.18146881, 0.39843805, 0.18244825, 16.88888889, 17.44444444, 0.20971496, 0.54553463, 1743.0, 3038049.0, 0.0, 56.0, 0.73214286, 0.19727311, 0.022175, 0.0, 0.0, 41.0, 7.92331155, 0.3796558, 0.35432947, 1.09521385, 1.16726566, 1.0, 0.14856152, 1.0, 0.31255107, 0.09169622, 1.0, 0.0, 3.0, 0.73214286, 0.82114317, 0.00130803, 0.0, 0.11753711, 0.07317073, 0.0, 0.4939759, 0.52083333, 0.16966476, 0.18137612, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.204095, 6.0, 4.0]","[-0.116776, -0.671611, 0.0, -0.063091, -0.185546, 0.537547, -0.386469, 0.244643, -0.465526, 0.080963, 0.719001, -0.081556, -0.112263, -0.570359, 0.424401, 0.104328]","[-0.260691, 0.150536, 0.0, 0.261563, -0.262683, -0.104652, 0.105881, 0.145764, 0.109495, -0.285315, -0.157417, -0.292956, 0.266145, 0.098498, -0.129005, -0.281203]"
Iwata Gyousho Pro Bold,IWATA,Iwata Gyousho Pro,"[0.05835, 0.048528, 0.162308, 0.090606, 0.105926, 0.171828, 0.004964, 0.165008, 0.21288, 0.044969, 0.057622, 0.297084, 0.377841, 0.32561, 0.09273, 0.455865, 0.1154, 0.231837, 0.100294, 0.058095, 0.022446, 0.406872, 0.154038, 0.131516]","[0.38818227, 0.44705525, 0.4811409, 0.56374809, 0.23094733, 0.24477835, 0.32487521, 0.20479417, 0.24982286, 0.40420622, 0.14117675, 18.88888889, 16.55555556, 0.16929615, 0.4000984, 1693.0, 2866249.0, 0.0, 50.5, 0.7527451, 0.29542354, 0.04357842, 4.0, 0.0, 38.0, 7.93366013, 0.28674481, 0.29440201, 1.06538809, 0.4907134, 1.0, 0.05924452, 1.0, 0.32769811, 0.07557998, 1.0, -17.0, 2.0, 0.73359073, 0.80878233, 0.02100978, 0.6, 0.18858857, 0.26315789, -11.30993249, 0.50684932, 0.475, 0.14693172, 0.1031746, 0.0, 0.0, 0.78539816, 0.0, 0.0, 0.98279372, 0.97490347, 0.0, 0.03158417, 1.603611, 5.0, 3.0]","[0.311235, 0.723561, 0.0, -0.228464, 0.374502, -0.567869, 0.67182, -0.290773, 0.712415, 0.359414, -0.575624, 0.453777, -0.283818, 0.646808, -0.704282, 0.333017]","[-0.129914, 0.385016, 0.0, 0.227442, -0.116771, -0.217554, 0.270367, -0.043221, 0.333648, -0.281478, -0.335811, -0.175558, 0.222082, 0.260459, -0.353885, -0.217602]"
Iwata Maru Gothic Std Medium,IWATA,Iwata Maru Gothic Std,"[0.057266, 0.05814, 0.195433, 0.065081, 0.17116, 0.130047, 0.130442, 0.150677, 0.232854, 0.040799, 0.037751, 0.17325, 0.260483, 0.226797, 0.276545, 0.300904, 0.110398, 0.163248, 0.239113, 0.212006, 0.030147, 0.53652, 0.158835, 0.190786]","[0.38316778, 0.45118838, 0.47935037, 0.58297051, 0.25185718, 0.25253864, 0.26697981, 0.22928728, 0.16651969, 0.43382145, 0.17037158, 17.11111111, 18.44444444, 0.18999094, 0.62733959, 1652.0, 2729104.0, 0.0, 56.0, 0.73214286, 0.18581787, 0.01893131, 0.0, 0.0, 41.0, 5.96862745, 0.34985422, 0.28697768, 1.11916046, 1.27432918, 1.0, 0.08778364, 1.0, 0.30519977, 0.1012219, 1.0, 0.0, 3.0, 0.73214286, 0.79110664, 0.00039886, 0.0, 0.08382552, 0.07317073, 0.0, 0.5125, 0.5, 0.17519514, 0.23424701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.180149, 5.0, 3.0]","[0.142461, -0.745662, 0.0, -0.33107, 0.077128, 0.552085, -0.475574, 0.083043, -0.542639, 0.382064, 0.747774, 0.216434, -0.376632, -0.616159, 0.51151, 0.386875]","[-0.377092, 0.093333, 0.0, 0.373774, -0.396946, -0.042703, 0.056018, 0.248435, 0.055066, -0.415696, -0.078481, -0.447692, 0.374923, 0.050665, -0.075678, -0.397034]"
Heisei Kaku Gothic W7,Adobe,Heisei Kaku Gothic,"[0.253854, 0.051933, 0.285065, 0.058306, 0.151092, 0.105421, 0.039239, 0.257534, 0.216475, 0.035927, 0.295245, 0.160714, 0.1903, 0.145142, 0.266946, 0.299045, 0.162167, 0.137991, 0.245097, 0.363674, 0.044464, 0.349453, 0.074214, -0.000989]","[0.52672033, 0.456841, 0.48602207, 0.56894322, 0.24117594, 0.25335842, 0.19706901, 0.28778685, 0.11435721, 0.48944647, 0.10840946, 17.11111111, 13.55555556, 0.20979813, 0.56920823, 1586.0, 2515396.0, 0.0, 55.0, 0.7364418, 0.16626117, 0.0342924, 0.0, 0.0, 40.5, 10.79607843, 0.4351918, 0.47566455, 1.49973643, 1.19048249, 1.0, 0.1395517, 1.0, 0.26210958, 0.05302092, 1.0, 2.0, 1.0, 0.74175824, 0.86004554, 0.00137873, 0.0, 0.02284351, 0.17283951, 0.0, 0.5, 0.0, 0.16827528, 0.20076378, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00732601, 0.0, 0.0, 1.754838, 7.0, 4.0]","[0.464073, -0.971042, 0.0, -0.747155, 0.40284, 0.927518, -0.949843, 0.012076, -0.948579, 0.775904, 0.944818, 0.532933, -0.704523, -0.954781, 0.976317, 0.645645]","[-0.018105, -0.140439, 0.0, -0.003892, -0.023209, 0.091447, -0.12372, 0.034987, -0.096647, -0.036411, 0.080144, -0.043532, 0.005009, -0.075146, 0.12107, -0.012569]"
Heisei Maru Gothic W4,Adobe,Heisei Maru Gothic,"[0.100382, 0.056728, 0.221606, 0.065241, 0.210092, 0.12508, 0.128397, 0.173977, 0.200137, 0.039653, 0.057776, 0.188711, 0.260597, 0.205044, 0.259063, 0.389143, 0.129375, 0.174575, 0.206569, 0.219543, 0.024151, 0.497705, 0.1382, 0.110676]","[0.42229031, 0.45068397, 0.48224615, 0.5979862, 0.24961227, 0.25448398, 0.2471296, 0.21656165, 0.15807124, 0.48273115, 0.14263596, 19.11111111, 16.66666667, 0.19924646, 0.66168871, 1621.0, 2627641.0, 0.0, 55.5, 0.75681818, 0.15911352, 0.02661878, 0.0, 0.0, 42.0, 7.28235294, 0.3990768, 0.32394719, 1.30411687, 1.26709101, 1.0, 0.08337071, 1.0, 0.28287661, 0.06280042, 1.0, 0.0, 1.0, 0.76086957, 0.8191338, 0.0, 0.0, 0.10586973, 0.16666667, 0.0, 0.51807229, 0.52631579, 0.1590106, 0.23952206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00543478, 0.0, 0.0, 1.209561, 5.0, 3.0]","[0.266045, -0.866333, 0.0, -0.57613, 0.18212, 0.827925, -0.795419, 0.07588, -0.821732, 0.632997, 0.880023, 0.419467, -0.635042, -0.840086, 0.811851, 0.568025]","[-0.203863, 0.069159, 0.0, 0.227077, -0.213738, -0.040646, 0.058665, 0.117848, 0.082136, -0.284509, -0.061002, -0.265143, 0.227424, 0.079005, -0.092689, -0.234791]"
